Year,Revenue ($ million),IVA ($ million),Establishments (Units),Enterprises (Units),Employment (Units),Wages ($ million),Value of Construction ( )
2003,2056030.9,458120.6,2971485,2962128,8620714,387458,1204.3
2004,2230073.6,483418.3,3152004,3142730,9039273,399942.3,1278.5
2005,2388427.9,513029.9,3318562,3308554,9312217,422689.6,1342.3
2006,2418011.9,501404.5,3351588,3340797,9888038,451383.7,1311.2
2007,2362878.7,522112.6,3468812,3457171,9925243,458608.3,1225.3
2008,2093150.2,478727.4,3301628,3289488,9571645,445870.5,1101.1
2009,1746416.5,413951.1,3168430,3156284,8422581,373308.1,879
2010,1706095.6,409370,3106915,3094461,7813502,342832.2,786.6
2011,1701860.6,412842.5,3045707,3033209,7578890,341364.3,796.6
2012,1726040.3,439109,2999700,2987749,7607740,347628.8,900.9
2013,1816196.8,463926.4,3026925,3014875,7838623,364035.6,959.6
2014,1965810.2,505336.4,3109618,3097096,8147665,387387.8,1030.7
2015,2066888.1,560364.9,3112404,3099241,8438300,417749.7,1076.2
2016,2168290.5,593194.6,3167759,3154378,8782290,439245.9,1088.1
2017,2316257.2,633943.9,3209730,3195041,9027150,462540.8,1132
2018,2351621.6,659134.6,3369121,3339340,9450411,485114.6,1147.7
2019,2369895.2,655417.3,3453630,3419396,9745472,516999.5,1133.8
2020,2360065.2,674010.4,3531170,3495176,9405994,512653.3,1109
2021,2482020.4,706238.7,3651515,3609869,9812017,535653.6,1193.9
2022,2545761.9,724266.3,3740106,3696711,10064297,549422.7,1225
2023,2597360.4,739031.6,3830240,3786335,10287186,561384.1,1248.8
2024,2644480.2,752160.6,3921360,3877426,10495774,572527.3,1269.3
2025,2685668.2,763333.3,4014164,3970897,10689892,582781.8,1286.9
2026,2727718.6,774475,4100354,4057583,10874761,592669.6,1305.7
2027,2768045,789590.1,4185693,4143630,11051369,602122,1323.3
