Country,1979 Elephant Population,1989 Elephant Population,2007 Elephant Population,2012 Elephant Population
Angola,12400,12400,2530,2530
Botswana,20000,51000,175487,175454
Cameroon,16200,21200,15387,14049
Cen African Rep,63000,19000,3334,2285
Chad,15000,3100,6435,3004
Congo,10800,70000,22102,49248
Dem Rep of Congo,377700,85000,23714,13674
Gabon,13400,76000,70637,77252
Kenya,65000,19000,31636,36260
Mozambique,54800,18600,26088,26513
Somalia,24300,6000,70,70
Tanzania,316300,80000,167003,117456
Zambia,150000,41000,29231,21589
Zimbabwe,30000,43000,99107,100291
